NM_000014.6	A2M
NM_021205.6	RHOU
NM_021210.5	TRAPPC1
NM_021213.4	PCTP
NM_021214.2	ABHD17C
NM_021215.4	RPRD1B
NM_021217.3	ZNF77
NM_021218.3	INIP
NM_021219.4	JAM2
NM_021220.4	OVOL2
NM_021221.2	LY6G5B
NM_021222.3	PRUNE1
NM_021223.3	MYL7
NM_021224.6	ZNF462
NM_021225.5	OPRPN
NM_021226.4	ARHGAP22
NM_021227.4	OSTC
NM_021228.3	SCAF1
NM_021229.4	NTN4
NM_021232.2	PRODH2
NM_021233.3	DNASE2B
NM_021237.5	SELENOK
NM_021239.3	RBM25
NM_021240.4	DMRT3
NM_021242.6	MID1IP1
NM_021243.3	ABRACL
NM_021244.5	RRAGD
NM_021245.4	MYOZ1
NM_021246.4	LY6G6D
NM_021247.3	PRM3
NM_021248.3	CDH22
NM_021250.4	LILRA5
NM_021252.5	RAB18
NM_021254.4	CFAP298
NM_021255.3	PELI2
NM_021257.4	NGB
NM_021258.4	IL22RA1
NM_021259.3	PGAP6
NM_021260.4	ZFYVE1
NM_021267.5	CERS1
NM_021268.2	IFNA17
NM_021269.3	ZNF708
NM_021570.4	BARX1
NM_021571.4	CARD18
NM_021614.4	KCNN2
NM_021615.5	CHST6
NM_021616.6	TRIM34
NM_021619.3	PRDM12
NM_021620.4	PRDM13
NM_021623.2	PLEKHA2
NM_021624.4	HRH4
NM_021625.5	TRPV4
NM_021626.3	SCPEP1
NM_021627.3	SENP2
NM_021628.3	ALOXE3
NM_021629.4	GNB4
NM_021632.4	ZNF350
NM_021633.4	KLHL12
NM_021634.4	RXFP1
NM_021635.3	PBOV1
NM_021637.3	TMEM35A
NM_021639.5	GPBP1L1
NM_021640.4	MYG1
NM_021643.4	TRIB2
NM_021645.6	UTP14C
NM_021646.4	ZNF500
NM_021647.8	MFAP3L
NM_021648.5	TSPYL4
NM_021649.7	TICAM2
NM_021724.5	NR1D1
NM_021727.5	FADS3
NM_021728.4	OTX2
NM_021729.6	VPS11
NM_021732.3	AVPI1
NM_021733.2	TSKS
NM_021738.3	SVIL
NM_021783.5	EDA2R
NM_021784.5	FOXA2
NM_021785.6	RAI2
NM_021794.4	ADAM30
NM_021796.4	PLAC1
NM_021800.3	DNAJC12
NM_021801.5	MMP26
NM_021803.4	IL21
NM_021806.4	FAM3A
NM_021807.4	EXOC4
NM_021809.7	TGIF2
NM_021813.4	BACH2
NM_021814.5	ELOVL5
NM_021815.5	SLC5A7
NM_021817.3	HAPLN2
NM_021818.4	SAV1
NM_021819.3	LMAN1L
NM_021821.4	MRPS35
NM_021822.4	APOBEC3G
NM_021823.5	PPCDC
NM_021825.5	CCDC90B
NM_021826.5	FASTKD5
NM_021828.5	HPSE2
NM_021830.5	TWNK
NM_021831.6	AGBL5
NM_021833.5	UCP1
NM_021870.3	FGG
NM_021871.4	FGA
NM_021873.4	CDC25B
NM_021902.4	FXYD1
NM_021907.5	DTNB
NM_021913.5	AXL
NM_021916.4	ZNF70
NM_021920.4	SCT
NM_021922.3	FANCE
NM_021924.5	CDHR5
NM_021925.4	LDAH
NM_021926.4	ALX4
NM_021927.3	GUF1
NM_021928.4	SPCS3
NM_021930.6	RINT1
NM_021931.4	DHX35
NM_021933.4	MIIP
NM_021934.5	ATG101
NM_021937.5	EEFSEC
NM_021938.4	CELF5
NM_021939.4	FKBP10
NM_021942.6	TRAPPC11
NM_021943.3	ZFAND3
NM_021944.4	C14orf93
NM_021947.3	SRR
NM_021948.5	BCAN
NM_021951.3	DMRT1
NM_021953.4	FOXM1
NM_021954.4	GJA3
NM_021955.5	GNGT1
NM_021956.5	GRIK2
NM_021957.4	GYS2
NM_021958.4	HLX
NM_021959.3	PPP1R11
NM_021960.5	MCL1
NM_021961.6	TEAD1
NM_021962.5	ABR
NM_021963.4	NAP1L2
NM_021964.3	ZNF148
NM_021965.4	PGM5
NM_021966.3	TCL1A
NM_021968.4	H4C11
NM_021969.3	NR0B2
NM_021970.4	LAMTOR3
NM_021971.4	GMPPB
NM_021973.3	HAND2
NM_021974.5	POLR2F
NM_021975.4	RELA
NM_021976.5	RXRB
NM_021977.4	SLC22A3
NM_021978.4	ST14
NM_021979.4	HSPA2
NM_021982.3	SEC24A
NM_021983.4	HLA-DRB4
NM_021992.3	TMSB15A
NM_021994.3	ZNF277
NM_021996.6	GBGT1
NM_021999.5	ITM2B
NM_022003.4	FXYD6
NM_022006.2	FXYD7
NM_022034.6	CUZD1
NM_022036.4	GPRC5C
NM_022039.4	FBXW4
NM_022041.4	GAN
NM_022042.4	SLC26A1
NM_022044.3	SDF2L1
NM_022045.5	MTBP
NM_022047.4	DEF6
NM_022048.5	CSNK1G1
NM_022049.3	GPR88
NM_022051.3	EGLN1
NM_022052.2	NXF3
NM_022053.4	NXF2
NM_022054.4	KCNK13
NM_022055.2	KCNK12
NM_022060.3	ABHD4
NM_022061.4	MRPL17
NM_022063.3	FAM204A
NM_022064.5	RNF123
NM_022065.5	THADA
NM_022066.4	UBE2O
NM_022070.5	HEATR6
NM_022071.4	SH2D4A
NM_022072.5	NSUN3
NM_022073.4	EGLN3
NM_022075.5	CERS2
NM_022076.4	DUSP21
NM_022078.3	GPATCH3
NM_022080.3	NAPB
NM_022081.6	HPS4
NM_022082.4	SLC17A9
NM_022087.4	GALNT11
NM_022089.4	ATP13A2
NM_022090.5	ZBED8
NM_022092.3	CHTF18
NM_022093.2	TNN
NM_022095.4	ZNF335
NM_022096.6	ANKEF1
NM_022097.4	CHP2
NM_022098.4	XPNPEP3
NM_022100.3	MRPS14
NM_022101.4	STEEP1
NM_022104.4	PCIF1
NM_022106.3	FAM217B
NM_022110.4	FKBPL
NM_022111.4	CLSPN
NM_022112.3	TP53AIP1
NM_022113.6	KIF13A
NM_022114.4	PRDM16
NM_022117.4	TSPYL2
NM_022119.4	PRSS22
NM_022120.2	OXCT2
NM_022121.5	PERP
NM_022122.3	MMP27
NM_022124.6	CDH23
NM_022126.4	LHPP
NM_022128.3	RBKS
NM_022129.4	PBLD
NM_022130.4	GOLPH3
NM_022131.3	CLSTN2
NM_022132.5	MCCC2
NM_022134.3	GAL3ST2
NM_022136.5	SAMSN1
NM_022139.4	GFRA4
NM_022140.5	EPB41L4A
NM_022141.7	PARVG
NM_022142.5	ELSPBP1
NM_022143.5	LRRC4
NM_022144.3	TNMD
NM_022145.5	CENPK
NM_022146.5	NPFFR1
NM_022147.3	RTP4
NM_022148.4	CRLF2
NM_022149.5	MAGEF1
NM_022150.3	NPVF
NM_022151.5	MOAP1
NM_022152.6	TMBIM1
NM_022153.2	VSIR
NM_022156.5	DUS1L
NM_022157.4	RRAGC
NM_022158.4	FN3K
NM_022159.4	ADGRL4
NM_022160.3	DMRTA1
NM_022163.4	MRPL46
NM_022164.3	TINAGL1
NM_022165.3	LIN7B
NM_022166.4	XYLT1
NM_022167.4	XYLT2
NM_022168.4	IFIH1
NM_022169.5	ABCG4
NM_022170.2	EIF4H
NM_022171.3	TCTA
NM_022173.4	TIA1
NM_022336.4	EDAR
NM_022337.3	RAB38
NM_022338.4	C11orf24
NM_022340.4	RBSN
NM_022341.2	PDF
NM_022343.4	GLIPR2
NM_022344.4	C17orf75
NM_022346.5	NCAPG
NM_022349.4	MS4A6A
NM_022350.5	ERAP2
NM_022351.5	NECAB1
NM_022353.3	OSGEPL1
NM_022355.4	DPEP2
NM_022356.4	P3H1
NM_022358.4	KCNK15
NM_022360.5	EDDM3B
NM_022361.5	POPDC3
NM_022362.5	MMS19
NM_022363.3	LHX5
NM_022365.4	DNAJC1
NM_022366.3	TFB2M
NM_022367.4	SEMA4A
NM_022369.4	STRA6
NM_022370.4	ROBO3
NM_022371.4	TOR3A
NM_022372.6	MLST8
NM_022373.5	HERPUD2
NM_022436.3	ABCG5
NM_022437.3	ABCG8
NM_022444.4	SLC13A1
NM_022445.4	TPK1
NM_022449.4	RAB17
NM_022450.5	RHBDF1
NM_022451.11	NOC3L
NM_022453.3	RNF25
NM_022454.4	SOX17
NM_022455.5	NSD1
NM_022456.5	RAB3IP
NM_022457.7	COP1
NM_022458.4	LMBR1
NM_022459.5	XPO4
NM_022460.4	HS1BP3
NM_022461.5	AZI2
NM_022463.5	NXN
NM_022464.5	SIL1
NM_022465.4	IKZF4
NM_022468.5	MMP25
NM_022469.4	GREM2
NM_022470.4	ZMAT3
NM_022474.4	PALS1
NM_022475.3	HHIP
NM_022476.4	AKTIP
NM_022479.3	GALNT17
NM_022480.4	KLHL25
NM_022481.6	ARAP3
NM_022482.5	GZF1
NM_022483.5	TMEM267
NM_022484.6	TMEM168
NM_022486.5	SUSD1
NM_022488.5	ATG3
NM_022489.4	INF2
NM_022490.4	POLR1E
NM_022491.3	SUDS3
NM_022492.6	TTC31
NM_022493.3	CIAO3
NM_022494.3	ZDHHC6
NM_022496.5	ACTR6
NM_022497.5	MRPS25
NM_022551.3	RPS18
NM_022552.5	DNMT3A
NM_022553.6	VPS52
NM_022566.3	TLNRD1
NM_022568.4	ALDH8A1
NM_022569.3	NDST4
NM_022571.6	GPR135
NM_022573.4	TSPY2
NM_022575.4	VPS16
NM_022579.3	CSHL1
NM_022658.4	HOXC8
NM_022659.4	EBF2
NM_022661.4	SPANXC
NM_022662.4	ANAPC1
NM_022716.4	PRRX1
NM_022717.4	SNRNP35
NM_022719.3	ESS2
NM_022720.7	DGCR8
NM_022725.4	FANCF
NM_022726.4	ELOVL4
NM_022727.6	TRMT2A
NM_022728.4	NEUROD6
NM_022730.4	COPS7B
NM_022731.5	NUCKS1
NM_022733.3	SMAP2
NM_022734.3	METTL17
NM_022735.4	ACBD3
NM_022736.4	MFSD1
NM_022739.4	SMURF2
NM_022740.5	HIPK2
NM_022742.5	CCDC136
NM_022744.4	RUSF1
NM_022746.4	MTARC1
NM_022748.12	TNS3
NM_022749.7	FHIP2B
NM_022750.4	PARP12
NM_022752.6	ZNF574
NM_022753.4	S100PBP
NM_022754.7	SFXN1
NM_022755.6	IPPK
NM_022760.6	PCED1A
NM_022761.3	C11orf1
NM_022762.5	RMND5B
NM_022763.4	FNDC3B
NM_022765.4	MICAL1
NM_022766.6	CERK
NM_022767.4	AEN
NM_022768.5	RBM15
NM_022769.5	CRTC3
NM_022770.4	GINS3
NM_022772.4	EPS8L2
NM_022773.4	LMF1
NM_022776.5	OSBPL11
NM_022777.4	IFT22
NM_022779.9	DDX31
NM_022780.4	RMND5A
NM_022781.5	RNF38
NM_022782.4	MPHOSPH9
NM_022783.4	DEPTOR
NM_022785.4	EFCAB6
NM_022786.3	ARV1
NM_022787.4	NMNAT1
NM_022788.5	P2RY12
NM_022789.3	IL25
NM_022802.3	CTBP2
NM_022817.3	PER2
NM_022818.5	MAP1LC3B
NM_022819.4	PLA2G2F
NM_022821.4	ELOVL1
NM_022823.3	FNDC4
NM_022827.4	SPATA20
NM_022828.5	YTHDC2
NM_022829.6	SLC13A3
NM_022830.3	TUT1
NM_022831.4	AIDA
NM_022832.4	USP46
NM_022833.4	NIBAN2
NM_022834.5	VWA1
NM_022835.3	PLEKHG2
NM_022836.4	DCLRE1B
NM_022839.5	MRPS11
NM_022840.5	METTL4
NM_022841.7	RFX7
NM_022842.5	CDCP1
NM_022843.3	PCDH20
NM_022845.3	CBFB
NM_022893.4	BCL11A
NM_022894.4	PAPOLG
NM_022895.3	C12orf43
NM_022896.3	LPIN3
NM_022897.5	RANBP17
NM_022899.5	ACTR8
NM_022900.5	CASD1
NM_022901.3	LRRC19
NM_022902.5	SLC30A5
NM_022903.4	CCDC71
NM_022904.3	RASAL3
NM_022909.4	CENPH
NM_022911.3	SLC26A6
NM_022913.4	GPBP1
NM_022915.5	MRPL44
NM_022916.6	VPS33A
NM_022917.5	NOL6
NM_022918.4	TMEM135
NM_022968.2	SERF1A
NM_022978.3	SERF1B
NM_023002.3	HAPLN4
NM_023003.5	TM6SF1
NM_023004.6	RTN4R
NM_023007.3	JMJD4
NM_023008.5	KRI1
NM_023009.7	MARCKSL1
NM_023011.4	UPF3A
NM_023012.6	RSRC2
NM_023013.4	PRAMEF1
NM_023014.1	PRAMEF2
NM_023015.5	INTS3
NM_023016.4	SOWAHC
NM_023018.5	NADK
NM_023034.2	NSD3
NM_023036.6	DNAI2
NM_023037.3	FRY
NM_023039.5	ANKRA2
NM_023067.4	FOXL2
NM_023068.4	SIGLEC1
NM_023070.3	ZFP69B
NM_023071.4	SPATS2
NM_023074.4	ZNF649
NM_023075.6	MPPE1
NM_023077.3	COA7
NM_023078.6	PYCR3
NM_023079.5	UBE2Z
NM_023080.3	C8orf33
NM_023083.4	CAPN10
NM_023110.3	FGFR1
NM_023112.4	OTUB2
NM_023915.4	GPR87
NM_023917.2	TAS2R9
NM_023918.3	TAS2R8
NM_023919.2	TAS2R7
NM_023920.2	TAS2R13
NM_023921.1	TAS2R10
NM_023922.1	TAS2R14
NM_023924.5	BRD9
NM_023927.4	GRAMD2B
NM_023928.5	AACS
NM_023930.4	KCTD14
NM_023932.4	DLK2
NM_023933.3	ANTKMT
NM_023934.4	FUNDC2
NM_023935.3	DDRGK1
NM_023936.2	MRPS34
NM_023937.4	MRPL34
NM_023938.6	C1orf116
NM_023940.3	RASL11B
NM_023943.4	TMEM108
NM_023944.4	CYP4F12
NM_023945.3	MS4A5
NM_023947.4	CHID1
NM_023948.5	MOSPD3
NM_024006.6	VKORC1
NM_024007.5	EBF1
NM_024009.3	GJB3
NM_024011.4	CDK11A
NM_024012.4	HTR5A
NM_024013.3	IFNA1
NM_024014.4	HOXA6
NM_024015.5	HOXB4
NM_024016.4	HOXB8
NM_024017.5	HOXB9
NM_024019.4	NEUROG2
NM_024025.3	DUSP26
NM_024026.5	MRPL57
NM_024027.5	COLEC11
NM_024028.4	PCYOX1L
NM_024031.5	PRR14
NM_024033.4	CYREN
NM_024034.6	GDAP1L1
NM_024036.5	LRFN4
NM_024037.3	AUNIP
NM_024038.4	TRIR
NM_024040.3	CUEDC2
NM_024041.4	SCNM1
NM_024042.4	METRN
NM_024044.4	SLX1B
NM_024045.2	DDX50
NM_024046.5	CAMKV
NM_024047.5	NUDT9
NM_024050.6	DDA1
NM_024051.4	GGCT
NM_024052.5	GID4
NM_024053.5	CENPM
NM_024057.4	NUP37
NM_024058.3	SMIM2
NM_024063.3	SPATA5L1
NM_024065.5	PDCL3
NM_024066.3	ERI3
NM_024067.4	C7orf26
NM_024068.4	NABP2
NM_024069.4	KXD1
NM_024070.3	PVRIG
NM_024071.4	ZFYVE21
NM_024072.4	DDX54
NM_024074.4	TMEM38A
NM_024077.5	SECISBP2
NM_024078.3	NOC4L
NM_024079.5	ALG8
NM_024080.5	TRPM8
NM_024081.6	PRRG4
NM_024083.4	ASPSCR1
NM_024086.4	METTL16
NM_024089.3	POGLUT2
NM_024090.3	ELOVL6
NM_024091.4	FASTKD3
NM_024092.3	TMEM109
NM_024093.3	C2orf49
NM_024094.3	DSCC1
NM_024095.5	ASB8
NM_024096.2	DCTPP1
NM_024097.4	C1orf50
NM_024098.4	CCDC86
NM_024099.5	LBHD1
NM_024100.4	WDR18
NM_024101.7	MLPH
NM_024102.4	WDR77
NM_024103.3	SLC25A23
NM_024104.4	SMIM7
NM_024105.4	ALG12
NM_024106.3	ZNF426
NM_024109.4	METTL22
NM_024111.6	CHAC1
NM_024112.4	BBLN
NM_024113.5	C11orf49
NM_024114.5	TRIM48
NM_024116.4	TAF1D
NM_024119.3	DHX58
NM_024120.5	NDUFAF5
NM_024121.3	TMEM185B
NM_024122.5	APOO
NM_024164.6	TPSB2
NM_024165.3	PHF1
NM_024293.6	RETREG2
NM_024294.4	ILRUN
NM_024295.6	DERL1
NM_024296.5	CCDC28B
NM_024297.3	PHF23
NM_024298.5	MBOAT7
NM_024299.4	PPDPF
NM_024301.5	FKRP
NM_024302.5	MMP28
NM_024306.5	FA2H
NM_024307.3	GDPD3
NM_024308.4	DHRS11
NM_024309.4	TNIP2
NM_024310.5	PLEKHF1
NM_024312.5	GNPTAB
NM_024313.3	NOL12
NM_024315.4	TMEM243
NM_024316.3	LENG1
NM_024319.4	C1orf35
NM_024320.4	PRR15L
NM_024321.5	RBM42
NM_024324.5	CRELD2
NM_024325.6	ZNF343
NM_024326.4	FBXL15
NM_024328.6	THTPA
NM_024329.6	EFHD2
NM_024330.4	SLC27A3
NM_024333.3	FSD1
NM_024334.3	TMEM43
NM_024335.3	IRX6
NM_024336.3	IRX3
NM_024337.4	IRX1
NM_024339.5	THOC6
NM_024341.3	ZNF557
NM_024345.5	DCAF10
NM_024407.5	NDUFS7
NM_024408.4	NOTCH2
NM_024409.4	NPPC
NM_024410.4	ODF1
NM_024411.5	PDYN
NM_024415.3	DDX4
NM_024417.5	FDXR
NM_024419.5	PGS1
NM_024420.3	PLA2G4A
NM_024421.2	DSC1
NM_024422.6	DSC2
NM_024426.6	WT1
NM_024430.4	PSTPIP2
NM_024490.4	ATP10A
NM_024491.4	CEP70
NM_024493.4	ZKSCAN3
NM_024494.3	WNT2B
NM_024496.4	IRF2BPL
NM_024501.3	HOXD1
NM_024503.5	HIVEP3
NM_024504.4	PRDM14
NM_024505.4	NOX5
NM_024508.5	ZBED2
NM_024509.2	LRFN3
NM_024512.5	LRRC2
NM_024513.4	FYCO1
NM_024514.5	CYP2R1
NM_024516.4	PAGR1
NM_024518.3	ULBP3
NM_024519.4	RIPOR1
NM_024522.3	NKAIN1
NM_024523.6	GCC1
NM_024525.5	TTC13
NM_024527.5	ABHD8
NM_024528.4	NKAP
NM_024529.5	CDC73
NM_024532.5	SPAG16
NM_024533.5	CHST5
NM_024535.5	CORO7
NM_024536.6	CHPF
NM_024537.4	CARS2
NM_024541.3	ARMH3
NM_024544.3	MUL1
NM_024546.4	OBI1
NM_024548.4	CEP97
NM_024551.3	ADIPOR2
NM_024552.3	CERS4
NM_024556.4	FAM118B
NM_024558.3	VCPKMT
NM_024560.4	ACSS3
NM_024561.5	NAA16
NM_024562.2	TANGO6
NM_024570.4	RNASEH2B
NM_024571.4	SNRNP25
NM_024572.4	GALNT14
NM_024573.3	ARMT1
NM_024574.4	NDNF
NM_024575.5	TNFAIP8L2
NM_024576.5	OGFRL1
NM_024577.4	SH3TC2
NM_024578.3	OCEL1
NM_024579.4	C1orf54
NM_024580.6	EFL1
NM_024581.6	FAM184A
NM_024583.5	SCRN3
NM_024584.5	CCDC121
NM_024585.4	ARMC7
NM_024586.6	OSBPL9
NM_024587.4	TMEM53
NM_024589.3	ROGDI
NM_024590.4	ARSJ
NM_024591.5	CHMP6
NM_024592.5	SRD5A3
NM_024593.4	EFCAB1
NM_024594.4	PANK3
NM_024595.3	AKIRIN1
NM_024596.5	MCPH1
NM_024597.4	MAP7D3
NM_024598.4	USB1
NM_024600.6	TMEM204
NM_024602.6	HECTD3
NM_024603.4	BEND5
NM_024604.3	RPAP3
NM_024605.4	ARHGAP10
NM_024607.4	PPP1R3B
NM_024608.4	NEIL1
NM_024610.6	HSPBAP1
NM_024611.6	ICE2
NM_024612.5	DHX40
NM_024613.4	PLEKHF2
NM_024615.4	PARP8
NM_024616.3	C3orf52
NM_024617.4	TUT7
NM_024619.4	FN3KRP
NM_024620.4	ZNF329
NM_024622.6	FASTKD1
NM_024626.4	VTCN1
NM_024627.6	RTL10
NM_024628.6	SLC12A8
NM_024629.4	CENPU
NM_024630.3	ZDHHC14
NM_024632.6	SAP30L
NM_024635.4	NAA35
NM_024636.4	STEAP4
NM_024637.5	GAL3ST4
NM_024638.4	QTRT2
NM_024639.5	ZNF322
NM_024640.4	YRDC
NM_024641.4	MANEA
NM_024642.5	GALNT12
NM_024643.4	ZC2HC1C
NM_024644.5	RIOX1
NM_024645.3	ZMAT4
NM_024646.3	ZYG11B
NM_024648.3	OGFOD3
NM_024649.5	BBS1
NM_024652.6	LRRK1
NM_024653.4	PRKRIP1
NM_024654.5	NOL9
NM_024656.4	COLGALT1
NM_024657.5	MORC4
NM_024658.4	IPO4
NM_024660.4	IGFLR1
NM_024662.3	NAT10
NM_024663.4	NPEPL1
NM_024664.4	PPCS
NM_024665.7	TBL1XR1
NM_024666.5	AAGAB
NM_024667.3	VPS37B
NM_024669.3	ANKRD55
NM_024671.4	ZNF768
NM_024672.6	THAP9
NM_024674.6	LIN28A
NM_024675.4	PALB2
NM_024677.6	NSUN7
NM_024678.6	NARS2
NM_024680.4	E2F8
NM_024682.3	TBC1D17
NM_024683.4	TEFM
NM_024684.4	AAMDC
NM_024685.4	BBS10
NM_024686.6	TTLL7
NM_024690.2	MUC16
NM_024691.4	ZNF419
NM_024692.6	CLIP4
NM_024693.5	ECHDC3
NM_024694.4	ADGB
NM_024697.3	ZNF385D
NM_024699.3	ZFAND1
NM_024700.4	SNIP1
NM_024701.4	ASB13
NM_024702.3	ZNF750
NM_024704.5	KIF16B
NM_024706.5	ZNF668
NM_024707.3	GEMIN7
NM_024709.5	C1orf115
NM_024711.6	GIMAP6
NM_024712.5	ELMO3
NM_024713.3	KATNBL1
NM_024715.4	TXNDC15
NM_024717.7	MCTP1
NM_024718.5	RABL6
NM_024719.4	GRTP1
NM_024721.5	ZFHX4
NM_024725.4	CCDC82
NM_024726.5	IQCA1
NM_024727.4	LRRC31
NM_024731.4	KLHL36
NM_024733.5	ZNF665
NM_024734.4	CLMN
NM_024735.5	FBXO31
NM_024736.7	GSDMD
NM_024738.4	SPRING1
NM_024740.2	ALG9
NM_024741.3	ZNF408
NM_024743.4	UGT2A3
NM_024744.17	CARF
NM_024745.5	SHCBP1
NM_024746.4	HHIPL2
NM_024747.6	HPS6
NM_024753.5	TTC21B
NM_024754.5	PTCD2
NM_024755.4	SLTM
NM_024756.3	MMRN2
NM_024757.5	EHMT1
NM_024758.5	AGMAT
NM_024761.5	MOB3B
NM_024762.3	ZNF552
NM_024763.5	DNAI4
NM_024764.4	CATSPERB
NM_024766.5	CAMKMT
NM_024769.5	CLMP
NM_024771.4	NAA40
NM_024772.5	ZMYM1
NM_024773.3	KDM8
NM_024775.10	GEMIN6
NM_024779.5	PIP4K2C
NM_024781.3	CCDC102B
NM_024782.3	NHEJ1
NM_024783.4	AGBL2
NM_024786.3	ZDHHC11
NM_024787.3	RNF122
NM_024789.4	MFSD13A
NM_024792.3	TLCD3A
NM_024794.3	EPHX3
NM_024795.4	TM4SF20
NM_024798.3	SNX22
NM_024800.5	NEK11
NM_024803.3	TUBAL3
NM_024805.3	RBFA
NM_024806.4	JHY
NM_024807.4	TREML2
NM_024808.5	BORA
NM_024809.5	TCTN2
NM_024812.3	BAALC
NM_024813.3	RPAP2
NM_024814.4	CBLL1
NM_024815.4	NUDT18
NM_024816.3	RABEP2
NM_024817.3	THSD4
NM_024818.6	UBA5
NM_024821.5	CCDC134
NM_024824.5	ZC3H14
NM_024827.4	HDAC11
NM_024828.4	CAAP1
NM_024829.6	PLBD1
NM_024830.5	LPCAT1
NM_024831.8	TGS1
NM_024832.5	RIN3
NM_024833.3	ZNF671
NM_024835.5	GGNBP2
NM_024836.3	ZNF672
NM_024837.4	ATP8B4
NM_024838.5	THNSL1
NM_024839.4	RPP21
NM_024843.4	CYBRD1
NM_024844.5	NUP85
NM_024847.4	TMC7
NM_024848.3	MORN1
NM_024852.4	AGO3
NM_024854.5	PYROXD1
NM_024855.4	ACTR5
NM_024857.5	ATAD5
NM_024859.3	MAGIX
NM_024864.5	MRM1
NM_024865.4	NANOG
NM_024867.4	SPEF2
NM_024869.3	FAM110D
NM_024870.4	PREX2
NM_024871.4	MAP6D1
NM_024873.6	TNIP3
NM_024874.5	KIAA0319L
NM_024876.4	COQ8B
NM_024877.4	CCNP
NM_024881.5	SLC35E1
NM_024884.3	L2HGDH
NM_024893.3	SYNDIG1
NM_024894.4	NOL10
NM_024896.3	ERMP1
NM_024898.4	DENND1C
NM_024899.4	CEP76
NM_024901.5	DENND2D
NM_024907.7	FBXO17
NM_024908.4	WDR76
NM_024911.7	WLS
NM_024913.5	CPED1
NM_024915.4	GRHL2
NM_024917.6	TRMT2B
NM_024919.6	FRMD1
NM_024921.4	POF1B
NM_024922.6	CES3
NM_024923.4	NUP210
NM_024926.4	TTC26
NM_024927.5	PLEKHH3
NM_024928.5	STN1
NM_024930.3	ELOVL7
NM_024936.3	ZCCHC4
NM_024939.3	ESRP2
NM_024940.8	DOCK5
NM_024941.4	TRAPPC13
NM_024942.4	C10orf88
NM_024943.3	TMEM156
NM_024944.3	CHODL
NM_024946.4	PSME3IP1
NM_024947.4	PHC3
NM_024948.4	MINDY3
NM_024949.6	WWC2
NM_024953.4	NAA25
NM_024954.5	UBTD1
NM_024956.4	TMEM62
NM_024963.6	FBXL18
NM_024967.3	ZNF556
NM_024980.5	GPR157
NM_024989.4	PGAP1
NM_024996.7	GFM1
NM_025000.4	DCAF17
NM_025003.5	ADAMTS20
NM_025004.3	CCDC15
NM_025009.5	CEP135
NM_025010.5	KLHL18
NM_025015.3	HSPA12A
NM_025029.5	MZT2B
NM_025040.4	ZNF614
NM_025045.6	BAIAP2L2
NM_025047.3	ARL14
NM_025052.5	MAP3K19
NM_025054.5	VCPIP1
NM_025055.5	CCDC33
NM_025057.3	BBOF1
NM_025058.5	TRIM46
NM_025059.4	CCDC170
NM_025061.6	LRRC8E
NM_025065.7	RPF1
NM_025069.3	ZNF703
NM_025072.7	PTGES2
NM_025073.3	SIKE1
NM_025074.7	FRAS1
NM_025075.4	THOC7
NM_025077.4	TOE1
NM_025078.5	SLC66A2
NM_025079.3	ZC3H12A
NM_025081.3	NYNRIN
NM_025082.4	CENPT
NM_025083.5	EDC3
NM_025087.3	CWH43
NM_025092.5	PGGHG
NM_025098.4	MOGAT2
NM_025099.6	CTC1
NM_025103.4	IFT74
NM_025106.4	SPSB1
NM_025107.3	MYCT1
NM_025108.3	TEDC2
NM_025112.5	ZXDC
NM_025113.5	RUBCNL
NM_025114.4	CEP290
NM_025124.4	TMEM134
NM_025125.4	TMEM254
NM_025126.4	RNF34
NM_025128.5	MUS81
NM_025129.5	FUZ
NM_025130.4	HKDC1
NM_025132.4	WDR19
NM_025136.4	OPA3
NM_025137.4	SPG11
NM_025138.5	PROSER1
NM_025140.3	CCDC92
NM_025144.4	ALPK1
NM_025145.7	CFAP43
NM_025146.4	NAA50
NM_025147.5	COQ10B
NM_025149.6	ACSF2
NM_025150.5	TARS2
NM_025152.3	NUBPL
NM_025153.3	ATP10B
NM_025155.3	PAAF1
NM_025158.5	RUFY1
NM_025159.3	TASL
NM_025161.6	FAAP100
NM_025163.4	PIGZ
NM_025165.3	ELL3
NM_025176.6	NINL
NM_025179.4	PLXNA2
NM_025181.5	SLC35F5
NM_025182.4	FAM214B
NM_025184.4	EFHC2
NM_025185.4	TANC2
NM_025187.5	PHAF1
NM_025188.4	TRIM45
NM_025189.4	ZNF430
NM_025191.4	EDEM3
NM_025193.4	HSD3B7
NM_025194.3	ITPKC
NM_025195.4	TRIB1
NM_025196.4	GRPEL1
NM_025201.5	PLEKHO2
NM_025202.4	EFHD1
NM_025203.3	WDCP
NM_025205.5	MED28
NM_025207.5	FLAD1
NM_025208.5	PDGFD
NM_025210.2	PPP1R2C
NM_025211.4	GKAP1
NM_025212.4	CXXC4
NM_025214.3	CCDC68
NM_025215.6	PUS1
NM_025216.3	WNT10A
NM_025217.4	ULBP2
NM_025218.4	ULBP1
NM_025219.3	DNAJC5
NM_025220.5	ADAM33
NM_025221.6	KCNIP4
NM_025222.4	WDR82
NM_025225.3	PNPLA3
NM_025227.3	BPIFB2
NM_025228.4	TRAF3IP3
NM_025229.2	SEL1L2
NM_025230.5	DCAF11
NM_025231.3	ZSCAN16
NM_025232.4	REEP4
NM_025233.7	COASY
NM_025234.3	WDR61
NM_025235.4	TNKS2
NM_025236.4	RNF39
NM_025237.3	SOST
